Name,"RA (J2000, deg)","Dec (J2000, deg)",objType,Ref,z,zType,zRef,Targeted,N_Observaciones
BRI 0241-0146,41.0076888,-1.5677378,QSO type1-BL-X,Millquas,4.01,S,2002ApJ 5..50....1C,False,3
GN20,189.2995354,62.3700278,Active galactic nuclei,eJWST,4.0553,UUN,2014A&A...569A..98T,True,5
GN20-MRS,189.2995354,62.3700278,Active galactic nuclei,eJWST,4.0553,UUN,2014A&A...569A..98T,True,1
TXS 1335-194,204.6088889,-19.7086112,QSO-NL-R-X,Millquas,4.1057,SUN,2023MNRAS.525.5831K,False,8
SDSS J094932.26+033531.7,147.3844458,3.5921605,QSO type1-BL-X,Millquas,4.107367,SLS,2016SDSSD.C...0000:,False,3
HSC2 J033234.35-274856.0,53.143164,-27.815571,QSO type1-BL,Millquas,4.1449,SLS,2010A&A...512A..12B,False,1521
SDSS J111008.61+024458.0,167.5358936,2.7494799,QSO type1-BL,Millquas,4.148,S,2020ApJS..250....8L,False,3
PSS J0133+0400,23.4180303,4.016624,QSO type1-BL-X,Millquas,4.170637,SLS,2016SDSSD.C...0000:,False,3
PSS J0209+0517,32.435924,5.2871457,QSO type1-BL-X,Millquas,4.183786,SLS,2016SDSSD.C...0000:,False,3
BR J2349-3712,357.3074287,-37.2164734,QSO type1-BL-R,Millquas,4.208,SUN,2001AJ....121.1799P,False,3
SDSS J111511.65+144512.0,168.7985534,14.7533593,QSO type1-BL,Millquas,4.259,S,2020ApJS..250....8L,False,2
ALMA-J081740.86+135138.2,124.4202625,13.8606194,Disk galaxies; High-redshift galaxies; Quasar-galaxy pairs,eJWST,4.26033,SUN,2020Natur.581..269N,True,1
Gaia 5001348270682792320,13.7702828,-37.6954917,X,Millquas,4.36,S,2023A&A..674A...41G,False,19
BR J0334-1612,53.5559667,-16.201475,QSO type1-BL-X,Millquas,4.363,SUN,2001AJ....121.1799P,False,3
SDSS J081740.52+135134.5,124.418869,13.859596,QSO type1-BL,Millquas,4.37,S,2020ApJS..250....8L,False,5
CDFS J033238.92-274243.69,53.162186,-27.712135,AGN,CDFS,4.3792,UUN,2013A&A...549A..63K,False,4
BRI 1335-0417,204.5142272,-4.5430492,QSO type1-BL,Millquas,4.396,S,2003A&A 3.891....1H,False,5
BRI 0103+0032,16.5801702,0.8064953,QSO type1-BL-X,Millquas,4.440187,SLS,2016SDSSD.C...0000:,False,3
COSM J100156.5+015218,150.4856303,1.8719271,QSO type1-BL,Millquas,4.45,S,2012ApJ 7.169....1S,False,1
DESI 39633446326240437,268.666877,65.2436464,QSO type1-BL,Millquas,4.56314,SLS,2023arXiv230606308D,False,33
WISE J224607.56-052634.9,341.5314787,-5.4431006,QSO type1-BL,Millquas,4.593,SUN,2015ApJ...805...90T,True,17
W2246-0526,341.5314583,-5.4430083,Infrared galaxies; Quasars; Starburst galaxies,eJWST,4.593,SUN,2015ApJ...805...90T,True,3
CDFS J033307.24-274755.44,53.280184,-27.798732,AGN,CDFS,4.635,SUN,2017ApJS..228....2L,True,16
SDSS J151155.98+040802.9,227.9832372,4.1341794,QSO type1-BL,Millquas,4.65,S,2020ApJS..250....8L,False,5
SDSS J134134.20+014157.6,205.3924955,1.6993466,QSO type1-BL,Millquas,4.65,S,2020ApJS..250....8L,False,5
SDSS J092303.52+024739.6,140.7646983,2.7943547,QSO type1-BL,Millquas,4.65,S,2020ApJS..250....8L,False,5
GS-9209,53.1081667,-27.8251222,Compact galaxies; Giant galaxies; High-redshift galaxies,eJWST,4.6583,SUN,2023A&A...678L...9D,True,2
COSM J100024.2+022509,150.1010259,2.4193948,QSO type1-BL-X,Millquas,4.66,SUN,2024A&A...685A..97P,False,7
BR 1202-0725,181.3463994,-7.7091006,QSO type1-BL-X,Millquas,4.6942,S1L,2023A&A...679A..41G,True,7
COSM J100106.4+015306,150.27693,1.885094,QSO type1-BL,Millquas,4.72,S,2012ApJ 7.169....1S,False,4
SDSS J033119.66-074143.1,52.8319307,-7.6953233,QSO type1-BL,Millquas,4.724262,SLS,2016SDSSD.C...0000:,False,5
CDFS J033229.31-275619.42,53.122139,-27.938728,AGN,CDFS,4.7555,SUN,2018ApJ...859...12G,False,2
GDS J03324-2756,53.1220833,-27.9388889,Seyfert 1,Veroncat,4.7555,SUN,2018ApJ...859...12G,False,2
GDS J033229.29-275619.5,53.122095,-27.938815,QSO type1-BL,Millquas,4.7555,SUN,2018ApJ...859...12G,True,7
SDSS J073231.28+325618.3,113.1303635,32.9384274,QSO type1-BL,Millquas,4.76,SUN,2016ApJ...829...33Y,True,1
SDSS J110041.96+580000.9,165.1747857,58.0002933,QSO type1-BL-R,Millquas,4.776865,SLS,2016SDSSD.C...0000:,True,1
SDSS J075907.57+180054.7,119.7815848,18.0152117,QSO type1-BL,Millquas,4.778,S,2020ApJS..250....8L,True,1
SDSS J085931.29+252019.5,134.8803958,25.3387633,QSO type1-BL,Millquas,4.787401,SLS,2016SDSSD.C...0000:,True,1
SDSS J162045.64+520246.6,245.1901463,52.0462876,QSO type1-BL,Millquas,4.79,SUN,2016ApJ...829...33Y,True,1
SDSS J113415.21+392826.0,173.5633804,39.4738967,QSO type1-BL,Millquas,4.795,S,2020ApJS..250....8L,True,1
SDSS J110247.28+663519.2,165.6970044,66.58869,QSO type1-BL,Millquas,4.80606,SLS,2016SDSSD.C...0000:,True,1
SDSS J132825.16+444500.2,202.1048718,44.7500663,QSO type1-BL,Millquas,4.81,S,2020ApJS..250....8L,True,1
SDSS J083122.57+404623.3,127.8440651,40.7731794,QSO type1-BL,Millquas,4.82,S,2020ApJS..250....8L,True,1
SDSS J153422.74+571140.5,233.594782,57.1945838,QSO type1-BL,Millquas,4.82,S,2020ApJS..250....8L,True,1
SDSS J124510.13+434837.9,191.292221,43.8105346,QSO type1-BL,Millquas,4.82,S,2020ApJS..250....8L,True,1
SDSS J145805.99+332723.0,224.5249896,33.4564077,QSO type1-BL,Millquas,4.83,S,2020ApJS..250....8L,True,1
SDSS J105005.11+462735.5,162.5213133,46.4598651,QSO type1-BL,Millquas,4.844,S,2020ApJS..250....8L,True,1
SDSS J134243.46+583850.0,205.6811204,58.6472409,QSO type1-BL,Millquas,4.859754,SLS,2016SDSSD.C...0000:,True,1
SDSS J094108.35+594725.7,145.2848403,59.7904835,QSO type1-BL,Millquas,4.861,S,2020ApJS..250....8L,True,1
SDSS J080715.11+132805.1,121.8129869,13.4681032,QSO type1-BL,Millquas,4.87,S,2020ApJS..250....8L,True,1
SDSS J073103.12+445949.4,112.7630545,44.9970638,QSO type1-BL,Millquas,4.98,S,2020ApJS..250....8L,True,4
J1148-18404,177.0579583,52.8628028,Active galactic nuclei,eJWST,5.011,S1L,2024ApJ...963..129M,True,2
J0148-4214,27.1387083,5.9972333,Active galactic nuclei,eJWST,5.019,S1L,2024ApJ...963..129M,True,2
SDSS J002526.84-014532.5,6.3618137,-1.7590342,QSO type1-BL,Millquas,5.06,S,2020ApJS..250....8L,False,2
GN-15498,189.2855417,62.2807833,Active galactic nuclei; Emission line galaxies; Quasars,eJWST,5.086,SLS,2024Natur.635..311X,True,2
B01.174,189.1998334,62.1614723,QSO type1-BL-X,Millquas,5.19,PSE,2018MNRAS.478.3740A,False,58
GOODS-N-4014,189.300125,62.2120444,Active galactic nuclei,eJWST,5.228,S1L,2024ApJ...963..129M,True,2
GN-12839,189.3442788,62.2633639,Active galactic nuclei; Emission line galaxies; Quasars,eJWST,5.241,S1L,2024ApJ...963..129M,True,2
CEERS_02782,214.8234583,52.8302778,Active galactic nuclei,eJWST,5.25,SUN,2024ApJ...963....9M,True,2
AZTEC-3,150.0862533,2.588975,High-redshift galaxies; Starburst galaxies; Ultraluminous infrared galaxies,eJWST,5.29795,UUN,2016ApJ...832..151P,True,6
COSM J100051.6+023457,150.21497,2.582674,QSO type1-BL-X,Millquas,5.31,SUN,2024A&A...685A..97P,False,15
SDSS J134040.24+281328.1,205.167677,28.224488,QSO type1-BL,Millquas,5.339,S,2020ApJS..250....8L,True,4
GN-16813,189.1792917,62.2925333,Active galactic nuclei; Emission line galaxies; Quasars,eJWST,5.356,SUN,2015ApJ...815...57U,True,2
CFHT J141446.82+544631.8,213.6950834,54.7755,QSO type1-BL,Millquas,5.426,S1L,2018MNRAS.479.1180M,False,9
GS-13971,53.1385833,-27.79025,Active galactic nuclei; Emission line galaxies; Quasars,eJWST,5.484836,SUN,2017A&A...608A...2I,True,2
GDS3073,53.0788334,-27.8840834,QSO type1-BL,Millquas,5.554,UUN,2006A&A...454..423V,False,3396
S1,53.1204583,-27.7420917,High-redshift galaxies; Starburst galaxies; Ultraluminous infrared galaxies,eJWST,5.579,SLS,2023MNRAS.525.2864O,True,1
JADES_1093,189.17975,62.2246306,Active galactic nuclei,eJWST,5.6,SUN,2024A&A...685A..25A,True,2
HSCJ0915-0051,138.937625,-0.86,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,5.65,SUN,2018ApJS..237....5M,True,5
CEERS_00672,214.8896667,52.8329722,Active galactic nuclei,eJWST,5.667,SLS,2024ApJ...962..195B,True,2
PSO J038.1914-18.5735,38.19137,-18.573532,QSO type1-BL,Millquas,5.68,SUN,2023ApJ...943...67S,True,1
WISEA J152330.66+293539.1,230.8777385,29.5943536,QSO type1-BL-R,Millquas,5.7,P,,True,1
RD J1148+5253,177.0675,52.8942,QSO type1-BL,Millquas,5.701,SUN,2018MNRAS.479...43K,False,26
PS1 J112143.65-071839.6,170.4318388,-7.3110378,QSO type1-BL,Millquas,5.71,SUN,2019ApJ...871..199Y,True,4
SDSS J162100.92+515548.8,245.2538334,51.9302223,QSO type1-BL,Millquas,5.71,S,2016ApJ...833..222J,True,2
HSCJ0206-0206,31.70825,-2.1050556,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,5.72,S1L,2019ApJ...883..183M,True,5
ILTJ1350+3748,207.5983334,37.8099223,QSO type1-BL-R,Millquas,5.72,S1L,2022A&A...668A..27G,True,4
PSO J009.3573-08.1190,9.3573083,-8.1190319,QSO type1-BL,Millquas,5.72,UUN,2016ApJS..227...11B,True,1
PSO J209.2058-26.7083,209.2058335,-26.7083887,QSO type1-BL,Millquas,5.72,SUN,2023ApJ...943...67S,True,4
TGSSJ1530+1049,232.7079167,10.8253056,Active galactic nuclei; Quasars,eJWST,5.72,S1L,2018MNRAS.480.2733S,True,4
J1530+1049,232.7079167,10.8253056,High-redshift galaxies; Quasars,eJWST,5.72,S1L,2018MNRAS.480.2733S,True,1
CEERS_00746,214.809125,52.8684722,Active galactic nuclei,eJWST,5.72,PUN,2023ApJ...946L..16P,True,16
PSO J320.8703-24.3604,320.8703143,-24.3603606,QSO type1-BL,Millquas,5.73,SUN,2023ApJ...943...67S,True,1
PSO J271.4455+49.3067,271.4455417,49.3067306,QSO type1-BL,Millquas,5.73,SUN,2023ApJS..269...27Y,True,1
PSO J215.1512-16.0417,215.1513794,-16.041755,QSO type1-BL,Millquas,5.73,S,2012AJ 14.142....1D,True,4
PSO J119.0932+02.3056,119.09325,2.3056,QSO type1-BL,Millquas,5.73,SUN,2023ApJS..265...29B,True,2
PSO J169.1406+58.8894,169.1406667,58.8894973,QSO type1-BL,Millquas,5.73,SUN,2023ApJ...943...67S,True,5
J0001+2650,0.3401133,26.8358806,High-redshift galaxies ; Quasars,eJWST,5.733,SLS,2019ApJ...873...35S,True,35
HSCJ0215-0555,33.9383333,-5.92475,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,5.74,SUN,2018PASJ...70S..35M,True,5
PSO J201.9222+57.5440,201.9221834,57.544001,QSO type1-BL,Millquas,5.74,SUN,2023ApJ...943...67S,True,5
SDSSp J104433.04-012502.2,161.1376666,-1.4172467,QSO type1-BL-X,Millquas,5.745,S,2001ApJ 5..23....1C,True,4
PSO J000.3401+26.8358,0.3401251,26.8358806,QSO type1-BL,Millquas,5.75,S,,True,8
PSO J228.7029+01.3811,228.7029167,1.3811806,QSO type1-BL,Millquas,5.76,SUN,2023ApJS..265...29B,True,1
WISEA J163752.18+024158.1,249.467406,2.6995546,QSO type1-BL,Millquas,5.76,SUN,2023ApJ...943...67S,True,4
PSO J172.1770+26.8866,172.1770104,26.8866635,QSO type1-BL,Millquas,5.77,SUN,2023ApJ...943...67S,True,4
PSO J173.3198-06.9458,173.3199167,-6.9457917,QSO type1-BL,Millquas,5.77,SUN,2023ApJS..265...29B,True,4
PSO J187.1047-02.5609,187.1047535,-2.5609149,QSO type1-BL,Millquas,5.77,SUN,2023ApJ...943...67S,True,4
PSO J209.3825-08.7171,209.3825834,-8.71715,QSO type1-BL,Millquas,5.77,SUN,2023ApJ...943...67S,True,4
SDSS J232514.24+262847.6,351.3093436,26.4798961,QSO type1-BL,Millquas,5.77,SUN,2016ApJ...833..222J,True,4
SDSS J012958.51-003539.7,22.493791,-0.594389,QSO type1-BL,Millquas,5.7787,SUN,2017MNRAS.471.2143L,True,6
PSO J213.7329-13.4803,213.7329049,-13.4803624,QSO type1-BL,Millquas,5.78,UUN,2016ApJS..227...11B,True,4
DELS J111921.65+011308.6,169.8402136,1.2190746,QSO type1-BL,Millquas,5.78,S1L,2019ApJ...884...30W,True,4
VIK J0224-3435,36.23655,-34.589738,QSO type1-BL,Millquas,5.78,SUN,2023ApJS..265...29B,True,1
SDSS J161435.36+011444.7,243.6473334,1.2457751,QSO type1-BL,Millquas,5.78,SUN,2023ApJ...943...67S,True,1
SDSS J154552.08+602824.0,236.467,60.4733334,QSO type1-BL-R,Millquas,5.78,SUN,2023A&A...678A.128G,True,4
PSO J021.4213-25.8822,21.421309,-25.8823024,QSO type1-BL,Millquas,5.79,SUN,2023ApJ...943...67S,True,1
PSO J065.9589+01.7235,65.9589584,1.7235362,QSO type1-BL,Millquas,5.79,S,,True,4
SDSS J09273+2001,141.8409202,20.0232241,QSO type1-BL,Millquas,5.79,S,2006AJ 131203....1R,True,5
PSO J308.4829-27.6485,308.4829903,-27.6485345,QSO type1-BL,Millquas,5.799,S1L,2022MNRAS.513.1801L,True,1
SDSS J00026+2550,0.6641672,25.8430074,QSO type1-BL-R-X,Millquas,5.8,P,2004AJ 12.515....1R,True,1
PSO J004.3936+17.0862,4.3936113,17.0863042,QSO type1-BL,Millquas,5.8,P,,True,1
PSO J193.3992-02.7820,193.39925,-2.782025,QSO type1-BL-R,Millquas,5.8,SUN,2023ApJ...943...67S,True,4
PSO J017.0691-11.9919,17.0691667,-11.9919445,QSO type1-BL,Millquas,5.8,SUN,2023ApJ...943...67S,True,1
SDSS J083643.86+005453.1,129.18275,0.9147872,QSO type1-BL-R-X,Millquas,5.804,SLS,2022ApJ...926..114O,True,4
PSO J238.8510-06.8976,238.8510101,-6.8976707,QSO type1-BL,Millquas,5.81,SUN,2023ApJ...943...67S,True,4
SDSS J214755.41+010755.3,326.980902,1.132041,QSO type1-BL,Millquas,5.81,UUN,2009AJ....138..305J,True,4
PSO J174.7920-12.2845,174.7920461,-12.2845445,QSO type1-BL,Millquas,5.81,SUN,2023ApJ...943...67S,True,4
PSO J357.8289+06.4019,357.829,6.4019223,QSO type1-BL,Millquas,5.81,SUN,2023ApJ...943...67S,True,4
SDSS J114338.34+380828.7,175.90975,38.1413056,QSO type1-BL,Millquas,5.81,S,2016ApJ...833..222J,True,4
PSO J207.7780-21.1889,207.778,-21.1889639,QSO type1-BL,Millquas,5.81,SUN,2023ApJS..265...29B,True,4
PSO J235.9450+17.0079,235.9450807,17.0079041,QSO type1-BL,Millquas,5.82,SUN,2023ApJ...943...67S,True,1
SDSS J023930.24-004505.4,39.875978,-0.751484,QSO type1-BL,Millquas,5.82,UUN,2009AJ....138..305J,True,1
HSCJ0857+0142,134.3497917,1.7151667,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,5.82,SUN,2018PASJ...70S..35M,True,5
PSO J236.2912+16.6088,236.2912048,16.6088377,QSO type1-BL,Millquas,5.82,SUN,2023ApJ...943...67S,True,1
HSC J023858.09-031845.4,39.742039,-3.312627,QSO type1-BL,Millquas,5.83,S1L,2019ApJ...883..183M,True,1
PSO J212.2974-15.9865,212.2973731,-15.9866138,QSO type1-BL,Millquas,5.83,SUN,2023ApJ...943...67S,True,4
PSO J178.5594-12.1881,178.5593912,-12.1881834,QSO type1-BL,Millquas,5.83,UUN,2016ApJS..227...11B,True,4
ILTJ2201+2338,330.2817126,23.6438592,QSO type1-BL-R,Millquas,5.83,S,2022A&A..668A...27G,True,4
SDSS J143611.74+500706.9,219.0489167,50.1185834,QSO type1-BL,Millquas,5.83,S,2006AJ 131203....1R,True,5
PSO J242.4397-12.9816,242.4396898,-12.9817241,QSO type1-BL,Millquas,5.83,S1L,2022MNRAS.513.1801L,True,4
ULAS J1243+2529,190.9200703,25.4899055,QSO type1-BL,Millquas,5.83,S,2015in pr...1....1W,True,4
PSO J352.4034-15.3373,352.4034847,-15.3373501,QSO type1-BL-R,Millquas,5.832,S1L,2022A&A...664A..39K,True,5
VIKING J1148+0056,177.138248,0.9450072,QSO type1-BL,Millquas,5.84,SUN,2018ApJS..237....5M,True,4
PSO J148.4829+69.1812,148.4829167,69.1812834,QSO type1-BL,Millquas,5.84,SUN,2023ApJ...943...67S,True,1
PSO J210.8722-12.0094,210.8722479,-12.0094962,QSO type1-BL,Millquas,5.84,SUN,2023ApJ...943...67S,True,4
PSO J197.7198+25.5351,197.7198095,25.5351869,QSO type1-BL,Millquas,5.84,SUN,2023ApJ...943...67S,True,4
HSCJ0914+0442,138.6519583,4.7088056,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,5.84,SUN,2018ApJS..237....5M,True,5
HSC J1550+4318,237.503875,43.3007778,QSO type1-BL,Millquas,5.84,S1L,2022MNRAS.517.1264L,True,4
VIKING J0839+0015,129.9807551,0.2650704,QSO type1-BL,Millquas,5.84,SUN,2018ApJS..237....5M,True,4
SDSS J084035.09+562419.9,130.1462602,56.4056201,QSO type1-BL,Millquas,5.8441,UUN,2010ApJ...714..699W,True,5
PSO J127.2817+03.0657,127.2817348,3.0657026,QSO type1-BL,Millquas,5.85,SUN,2023ApJ...943...67S,True,5
PSO J025.2376-11.6831,25.2376251,-11.6831509,QSO type1-BL,Millquas,5.85,S,,True,1
NDWFS J142516.3+325409,216.3180333,32.9026581,QSO type1-BL,Millquas,5.85,S,2006AJ 13.823....1E,True,5
