Name,"RA (J2000, deg)","Dec (J2000, deg)",objType,Ref,z,zType,zRef,Targeted,N_Observaciones
VDESJ2250-5015,342.508399,-50.261739,QSO type1-BL,Millquas,6.0,P,2017MNRAS.468.4702R,True,4
CEERS_00397,214.8362083,52.8826944,Active galactic nuclei,eJWST,6.0,SUN,2024ApJ...963....9M,True,16
HSCJ0212-0158,33.1864167,-1.9735,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,6.0,SUN,2018PASJ...70S..35M,True,5
SDSS J081827.40+172251.8,124.6141667,17.3810556,QSO type1-BL,Millquas,6.0,P,2006AJ 131203....1R,True,1
PSOJ340-18,340.2041667,-18.6621667,High-redshift galaxies ; Quasars,eJWST,6.0007,S1L,2022ApJ...941..106F,True,4
PSO J340.2041-18.6621,340.2040377,-18.6621912,QSO type1-BL,Millquas,6.0007,S1L,2022ApJ...941..106F,True,32
SDSS J2310+1855,347.6620422,18.9221945,QSO type1-BL,Millquas,6.0031,S1L,2022A&A...668A.121S,True,3
SDSS J113717.73+354956.9,174.323875,35.8324723,QSO type1-BL,Millquas,6.009,SUN,2022MNRAS.515.5914I,True,4
HSC J1207-0005,181.9755834,-0.0981112,QSO type1-BL,Millquas,6.01,S1L,2018PASJ...70S..35M,True,9
HSCJ0853+0139,133.4535,1.6530556,Active galactic nuclei; High-redshift galaxies; Lyman-alpha galaxies; Quasars; Starburst galaxies,eJWST,6.01,S1L,2018PASJ...70S..35M,True,4
HSC J1219+0050,184.77225,0.84375,QSO type1-BL,Millquas,6.01,S1L,2022MNRAS.517.1264L,True,4
HSC J142611.33-012822.8,216.5472084,-1.473,QSO type1-BL,Millquas,6.01,S1L,2019ApJ...883..183M,True,4
HSC J0902+0155,135.728625,1.9196945,QSO type1-BL,Millquas,6.01,S1L,2018PASJ...70S..35M,True,4
HSC J0853+0139,133.4535,1.6530556,QSO type1-BL,Millquas,6.01,S1L,2018PASJ...70S..35M,True,5
CFHQS J02164-0455,34.115875,-4.9261389,QSO type1-BL,Millquas,6.01,SUN,2018ApJS..237....5M,True,4
HSCJ2228+0128,337.1159583,1.4693056,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,6.01,S1L,2018PASJ...70S..35M,True,5
HSC J2228+0128,337.116016,1.469172,QSO type1-BL,Millquas,6.01,S1L,2018PASJ...70S..35M,True,4
CFHQS J00550+0146,13.7622,1.7716,QSO type1-BL,Millquas,6.02,S,2009AJ 133541....1R,True,1
VIK J0046-2837,11.5985407,-28.6299101,QSO type1-BL,Millquas,6.02,S,,True,1
SDSS J125757.47+634937.2,194.4894711,63.8269508,QSO type1-BL,Millquas,6.02,S,2015AJ....149..188J,True,5
ATLAS J029.9915-36.5658,29.99159,-36.565741,QSO type1-BL,Millquas,6.02,S1L,2022MNRAS.513.1801L,True,1
HSC J1417+0117,214.3694584,1.2867778,QSO type1-BL,Millquas,6.02,S1L,2018PASJ...70S..35M,True,9
PSO J265.9298+41.4139,265.9297917,41.41395,QSO type1-BL,Millquas,6.0263,SUN,2023ApJS..265...29B,True,1
PSO J333.9859+26.1081,333.9860103,26.1081536,QSO type1-BL,Millquas,6.027,S1L,2022ApJ...941..106F,True,4
HSCJ1211-0118,182.9045833,-1.3045556,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,6.0293,SUN,2022ApJ...941...74O,True,5
HSC J1416+0015,214.0529584,0.2628334,QSO type1-BL,Millquas,6.03,S1L,2018PASJ...70S..35M,True,5
HSC J0202-0251,30.742566,-2.864899,QSO type1-BL,Millquas,6.03,S1L,2018PASJ...70S..35M,True,1
HSCJ1416+0015,214.0529583,0.2628333,Active galactic nuclei; High-redshift galaxies; Lyman-alpha galaxies; Quasars; Starburst galaxies,eJWST,6.03,S1L,2018PASJ...70S..35M,True,4
HSCJ1628+4312,247.1375833,43.2029444,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,6.03,SUN,2018PASJ...70S..35M,True,5
HSC J0206-0255,31.546727,-2.92719,QSO type1-BL,Millquas,6.03,S,2018PASJ..70S...35M,True,4
ULAS J1207+0630,181.9059662,6.5029228,QSO type1-BL,Millquas,6.0366,S1L,2022MNRAS.517.2508W,True,4
PSO J210.7277+40.4008,210.7277489,40.4008512,QSO type1-BL,Millquas,6.04,SUN,2023ApJ...943...67S,True,4
HSC J1400-0125,210.1249584,-1.4225,QSO type1-BL,Millquas,6.04,S1L,2022MNRAS.517.1264L,True,4
HSC J1400-0011,210.1199584,-0.1976389,QSO type1-BL,Millquas,6.04,S1L,2022MNRAS.517.1264L,True,4
HSC J1429-0002,217.33425,-0.0353889,QSO type1-BL,Millquas,6.04,S1L,2018PASJ...70S..35M,True,4
J1603+5510,240.9544583,55.1756389,High-redshift galaxies ; Quasars,eJWST,6.041,SUN,2016ApJ...819...24W,True,4
SDSS J035349.72+010404.4,58.4572429,1.0679554,QSO type1-BL,Millquas,6.049,UUN,2008AJ....135.1057J,True,4
PSO J089.9394-15.5833,89.9394374,-15.5833894,QSO type1-BL,Millquas,6.05,S,,True,1
CFHSQ J23180-0246,349.5115,-2.7762,QSO type1-BL,Millquas,6.05,SUN,2016ApJ...819...24W,True,4
CFHQS J16413+3755,250.340542,37.9222724,QSO type1-BL,Millquas,6.05,SUN,2023ApJ...943...67S,True,4
SDSS J163033.90+401209.6,247.64125,40.2026667,QSO type1-BL-X,Millquas,6.05,S,2003AJ 121649....1S,True,4
HSC J0957+0053,149.4182917,0.8926667,QSO type1-BL,Millquas,6.05,S1L,2022MNRAS.517.1264L,True,4
HSC J2223+0326,335.789625,3.4389723,QSO type1-BL,Millquas,6.05,S1L,2022MNRAS.517.1264L,True,4
J1215-0148,183.76425,-1.8163056,High-redshift galaxies ; Quasars,eJWST,6.053,S1L,2024ApJ...965L...4M,True,4
HSCJ1215-0149,183.7647917,-1.8164722,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,6.053,S1L,2024ApJ...965L...4M,True,5
HSCJ1215-0148,183.76425,-1.8163056,Active galactic nuclei ; High-redshift galaxies ; Lyman-alpha galaxies ; Quasars,eJWST,6.053,S1L,2024ApJ...965L...4M,True,5
SDSS J084229.43+121850.5,130.6226252,12.3140278,QSO type1-BL,Millquas,6.055,S,2015AJ....149..188J,True,4
HSC J010603.68-003015.2,16.51537,-0.504255,QSO type1-BL,Millquas,6.06,S1L,2019ApJ...883..183M,True,4
ILTJ1650+5457,252.715625,54.9503834,QSO type1-BL-R,Millquas,6.06,S1L,2022A&A...668A..27G,True,4
HSC J1201+0133,180.2625834,1.5656667,QSO type1-BL,Millquas,6.06,S1L,2018PASJ...70S..35M,True,4
SDSS J205406.49-000514.8,313.5270672,-0.0873789,QSO type1-BL,Millquas,6.062,S,2008AJ 131057....1A,True,11
VST J158.6938-14.4211,158.6937924,-14.4210705,QSO type1-BL,Millquas,6.0685,SUN,2023ApJS..265...29B,True,1
HSC J0911+0152,137.8094584,1.8720556,QSO type1-BL,Millquas,6.07,S1L,2018PASJ...70S..35M,True,29
HSC J1416+0147,214.220875,1.7839445,QSO type1-BL,Millquas,6.07,S1L,2022MNRAS.517.1264L,True,4
ILTJ1037+4033,159.4924167,40.5579834,QSO type1-BL-R,Millquas,6.07,SUN,2023A&A...678A.128G,True,4
VDESJ0420-4453,65.047291,-44.889922,QSO type1-BL,Millquas,6.07,SUN,2017MNRAS.468.4702R,True,1
DELS J155909.09+221214.4,239.7878921,22.2039757,QSO type1-BL,Millquas,6.07,S,2017ApJ...839...27W,True,1
SDSS J030331.40-001912.9,45.8808292,-0.3202728,QSO type1-BL,Millquas,6.07,UUN,2008AJ....135.1057J,True,1
SDSS J16029+4228,240.7249132,42.4735693,QSO type1-BL-R-X,Millquas,6.07,S,2004AJ 12.515....1R,True,4
HSC J2228+0152,337.19878,1.877878,QSO type1-BL,Millquas,6.08,S1L,2018PASJ...70S..35M,True,4
HSCJ0935-0110,143.9305,-1.1759167,Active galactic nuclei; High-redshift galaxies; Lyman-alpha galaxies; Quasars; Starburst galaxies,eJWST,6.08,S1L,2019ApJ...883..183M,True,4
HSC J093543.32-011033.3,143.9305,-1.1759167,QSO-NL,Millquas,6.08,S1L,2019ApJ...883..183M,True,5
PSO J293.0317+71.6523,293.0317696,71.652347,QSO type1-BL,Millquas,6.08,S,,True,1
CFHQS J2100-1715,315.2275834,-17.25625,QSO type1-BL,Millquas,6.09,S,2010AJ 13.906....1R,True,2
PSO J030.1387-17.6238,30.138802,-17.623899,QSO type1-BL,Millquas,6.09,SUN,2023ApJS..269...27Y,True,1
DES J0454-4448,73.507464,-44.808624,QSO type1-BL,Millquas,6.09,S,,True,1
DES J032214.54-184117.4,50.560622,-18.688189,QSO type1-BL-R,Millquas,6.09,MLS,2023MNRAS.519.2060I,True,1
HSC J0235-0532,38.92675,-5.5448889,QSO type1-BL,Millquas,6.0901,SUN,2022ApJ...941...74O,False,7
HSC J2216-0016,334.1852917,-0.2805556,QSO type1-BL,Millquas,6.0962,S1L,2022ApJ...941..106F,True,4
PSO J002.3786+32.8702,2.3787287,32.8702162,QSO type1-BL,Millquas,6.1,SUN,2023ApJ...943...67S,True,1
HSC J000445.81-004944.3,1.190887,-0.828981,QSO type1-BL,Millquas,6.1,S1L,2019ApJ...883..183M,True,1
HSC J1406-0144,211.6953334,-1.7340556,QSO type1-BL,Millquas,6.1,S1L,2022MNRAS.517.1264L,True,4
PSO J030947.49+271757.31,47.4478528,27.2992559,QSO type1-BL-R,Millquas,6.1,S1L,2022A&A...664A..39K,True,4
PSO J217.0891-16.0453,217.0891118,-16.04539,QSO type1-BL,Millquas,6.11,S,,True,4
PSO J239.7124-07.4026,239.7124118,-7.4027068,QSO type1-BL,Millquas,6.114,S1L,2023MNRAS.523.1399D,True,4
SDSS J231546.57-002358.1,348.9441106,-0.399414,QSO type1-BL,Millquas,6.117,UUN,2008AJ....135.1057J,True,4
HSC J2252+0225,343.0226667,2.4255278,QSO type1-BL,Millquas,6.12,S1L,2022MNRAS.517.1264L,True,4
DELS J104119.15+200824.0,160.329792,20.14,QSO type1-BL,Millquas,6.12,S1L,2019ApJ...884...30W,True,4
VIK J2227-3323,336.8274167,-33.3930612,QSO type1-BL,Millquas,6.12,SUN,2023ApJS..265...29B,True,4
NDWFS J14276+3312,216.9108334,33.2117084,QSO type1-BL-R,Millquas,6.121,S1L,2022ApJ...941..106F,True,4
