#Table1
plate,fiberid,mjd,z,zwarning,oiii_4363_flux,oiii_4363_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_4959_flux,oiii_4959_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err
2024,397,53503,0.0834541,0,48.96849,4.814062,1363.109,12.69702,413.74,7.427166,66.44117,6.118096,60.32623,5.037152,188.6747,3.382747,569.0863,10.20314,114.6882,8.453746,42.92279,8.168286
2097,582,53491,0.07139465,0,41.40681,4.782856,787.895,9.411291,245.5956,6.072341,246.6556,6.011515,223.7834,5.800033,543.6043,4.058053,1639.636,12.24001,205.6571,9.370532,164.133,9.238648
2341,427,53738,0.179377,0,18.36435,2.969052,1749.253,10.3436,557.8376,6.305996,334.8949,7.240318,262.1812,5.461881,299.3028,2.571958,902.7662,7.75761,174.3806,8.055251,364.3848,8.488827
2341,586,53738,0.1212987,0,41.33907,3.516339,201.504,4.602763,47.54223,3.787536,64.94456,4.417656,41.8115,3.898375,132.8659,2.674035,400.7542,8.065498,41.56661,7.27705,108.9941,7.467344
2342,163,53742,0.2385617,0,19.26597,2.327005,707.0201,7.005195,224.1481,3.756596,27.6551,3.238901,29.72697,3.133928,17.9532,1.04056,54.151,3.138565,71.94016,3.863826,55.86924,3.869529
2342,539,53742,0.2063779,0,13.50233,1.995042,274.0472,3.51132,88.64324,2.446383,19.02462,2.251816,19.89808,2.01999,39.20908,1.090837,118.2636,3.290213,35.25602,2.923399,31.95754,2.871015
2343,401,53735,0.143268,0,17.73717,2.653381,335.2204,4.646603,100.7845,3.345108,33.93876,2.639793,33.75306,2.623966,90.30771,1.641868,272.3889,4.952248,102.3746,4.478885,35.0831,4.204661
2346,45,53734,0.06456219,0,73.38963,5.601177,1743.447,16.06794,535.2383,8.694281,116.389,4.829453,97.91203,4.683321,249.45,4.001261,752.3988,12.06871,279.4655,13.22645,127.7226,12.59024
2348,242,53757,0.08612596,0,23.93678,3.677672,964.3994,9.292507,316.8253,5.307897,171.5007,3.748477,155.7896,3.718443,232.8217,2.043627,702.2438,6.164043,195.9693,7.919384,142.8492,7.785058
300,309,51943,0.07327056,0,39.85708,4.234978,676.2073,7.855232,208.6644,5.048891,24.12027,2.993696,27.96223,3.103569,49.94102,1.523439,150.6336,4.595038,58.79829,7.093285,38.44214,7.125906
373,259,51788,0.09807353,0,65.75595,5.856429,2093.863,17.46718,637.4422,9.597188,208.2367,6.307934,190.8783,6.124537,224.7371,3.653816,677.8588,11.02074,264.5026,13.53064,270.9742,13.62761
374,142,51791,0.09911174,0,99.35188,7.954595,2143.936,18.35271,609.3457,11.21443,176.2826,8.2492,203.5956,8.542208,683.8914,7.696938,2062.774,23.21572,141.0199,22.57438,174.9736,22.15587
