plate,fiberid,z,T_e,N_e,chi2,chi2_red,dof,success,hit_bound
892.0,562.0,0.06014777,20238.499814924282,716.6572394800374,1.3901959388118046,1.3901959388118046,1,True,False
1392.0,610.0,0.1584259,13904.400080006919,1835.7756634677098,4.966973846859371,4.966973846859371,1,True,False
1393.0,35.0,0.1309488,26589.924806447903,1402.4283126183918,0.5104285877281013,0.5104285877281013,1,True,False
371.0,215.0,0.110824,23953.383159365883,685.3534575062075,2.490231793176864,2.490231793176864,1,True,False
556.0,352.0,0.1363783,32377.421578750615,109.28626257385267,0.02674950195066445,0.02674950195066445,1,True,False
827.0,417.0,0.2300598,29504.935690412047,1451.8405683129004,2.51121363414144,2.51121363414144,1,True,False
965.0,320.0,0.227953,30607.469228740003,805.0388855151069,3.3984380066803546,3.3984380066803546,1,True,False
1576.0,100.0,0.1376014,21616.538337011098,1328.821663445239,3.7206249799273574,3.7206249799273574,1,True,False
1833.0,404.0,0.08061591,15124.50571022921,433.8195557074641,3.5652302602175796,3.5652302602175796,1,True,False
2488.0,585.0,0.1578177,20764.458920580968,215.1935902474544,2.6033918164971164,2.6033918164971164,1,True,False
2490.0,78.0,0.05214465,18386.005978549445,1426.5173990745825,0.9063554089450048,0.9063554089450048,1,True,False
2493.0,212.0,0.1153366,15427.41683399062,806.9669969813172,1.8434075381761206,1.8434075381761206,1,True,False
2493.0,350.0,0.09570611,16376.563462563738,749.6060031666884,4.702321698620936,4.702321698620936,1,True,False
354.0,617.0,0.06878067,26982.363685031207,1843.0276958493544,0.4083641937342626,0.4083641937342626,1,True,False
472.0,101.0,0.2225492,18828.77576959195,59.051699109621765,0.0794574597519801,0.0794574597519801,1,True,False
1690.0,395.0,0.1335109,29508.888662523404,1671.957654020665,0.3779616823899343,0.3779616823899343,1,True,False
1820.0,563.0,0.2105176,42368.329180599285,651.7230820128749,0.2611546491566809,0.2611546491566809,1,True,False
2104.0,178.0,0.03201681,24932.240293922572,1179.0546575906703,0.014522502250952647,0.014522502250952647,1,True,False
2167.0,484.0,0.07240462,27875.189916792064,1225.8086897465043,4.10872398158319,4.10872398158319,1,True,False
2499.0,555.0,0.1570965,24133.945734665886,733.5492509201812,0.18185681718068603,0.18185681718068603,1,True,False
2500.0,197.0,0.07907487,29103.38377111993,620.8298415383691,1.1209469067797193,1.1209469067797193,1,True,False
2500.0,261.0,0.08934598,26476.03106071103,2087.63462978626,2.6898625039976016,2.6898625039976016,1,True,False
2501.0,358.0,0.06940463,21457.491811003092,460.0748434897427,0.04117135332334148,0.04117135332334148,1,True,False
2501.0,384.0,0.05893762,23189.4684412695,396.97261350064315,1.1650321691725887,1.1650321691725887,1,True,False
2501.0,390.0,0.2101639,21230.77066127459,1329.2855169183363,2.816012142922889,2.816012142922889,1,True,False
2502.0,66.0,0.3245617,25859.27404598909,187.83432216661654,1.2538557886801007,1.2538557886801007,1,True,False
589.0,25.0,0.1369543,40116.160660500966,408.8173127925831,0.3977809910962664,0.3977809910962664,1,True,False
589.0,111.0,0.03588414,20136.393547049047,1449.5631770641264,1.5673574291106367,1.5673574291106367,1,True,False
872.0,372.0,0.1985823,31564.7333016197,708.6344423636388,0.03979267973667528,0.03979267973667528,1,True,False
1384.0,291.0,0.2095468,25857.697179021317,429.67660177492627,0.017256616580784576,0.017256616580784576,1,True,False
1696.0,549.0,0.2204827,41734.67566299489,331.7572500658584,0.9026724168589891,0.9026724168589891,1,True,False
1697.0,207.0,0.1185561,18303.171937530697,674.4154791198838,0.06611380897868926,0.06611380897868926,1,True,False
1763.0,174.0,0.2859516,17370.305486958354,192.95951384633432,0.46336442698460495,0.46336442698460495,1,True,False
1975.0,225.0,0.05044332,15314.859712944783,780.5835513152189,2.7612068671266305,2.7612068671266305,1,True,False
2504.0,209.0,0.1006608,39813.74604894821,632.4681114533686,0.18673969452124148,0.18673969452124148,1,True,False
2504.0,446.0,0.1534156,43680.782429313906,1544.2922696664627,0.4038073764281006,0.4038073764281006,1,True,False
1339.0,568.0,0.1228137,14675.175049524718,669.2534380751283,3.279972651603734,3.279972651603734,1,True,False
1405.0,263.0,0.08931328,24537.981894081957,670.4670708230883,0.6995838960259649,0.6995838960259649,1,True,False
1583.0,105.0,0.1096307,14441.303687034015,1267.1729306163675,0.18928239912630768,0.18928239912630768,1,True,False
1708.0,545.0,0.1289209,22255.711325837816,126.80710972402646,4.802457545377403,4.802457545377403,1,True,False
1775.0,561.0,0.161348,22141.93643555963,537.6607395708587,1.129744489459487,1.129744489459487,1,True,False
2514.0,150.0,0.2622804,19214.958471802365,495.3005957498586,0.01723896100674848,0.01723896100674848,1,True,False
2516.0,557.0,0.2370256,22816.65484326324,4307.75040732142,0.8105596730262021,0.8105596730262021,1,True,False
530.0,165.0,0.03288136,34004.66079199854,1954.9789429291736,0.14087751799749268,0.14087751799749268,1,True,False
605.0,175.0,0.07529317,19322.46422968669,884.6303769735935,1.1392588147873108,1.1392588147873108,1,True,False
812.0,278.0,0.2455552,15359.558651365727,419.48572218392525,0.00023362390583818655,0.00023362390583818655,1,True,False
956.0,547.0,0.190127,33820.103822561054,1378.1074454208263,2.6074838359255583,2.6074838359255583,1,True,False
1332.0,53.0,0.2289108,17601.164447601706,358.3810244165045,0.06763662474955263,0.06763662474955263,1,True,False
1572.0,562.0,0.05942016,19803.4061421559,1001.3704110030545,1.78311898588541,1.78311898588541,1,True,False
1841.0,203.0,0.05510139,19107.452583391627,534.4258183488771,2.244255620073936,2.244255620073936,1,True,False
2520.0,392.0,0.1969672,24723.26217786451,95.0758163809731,0.09153649690912083,0.09153649690912083,1,True,False
2524.0,38.0,0.3589991,26428.63770462375,1089.0836438946858,0.5921898468787979,0.5921898468787979,1,True,False
485.0,16.0,0.09561168,16465.968064864064,789.3110949492764,3.241220361725865,3.241220361725865,1,True,False
1329.0,149.0,0.1639493,28351.599205279996,966.676525909602,1.2111884462363005,1.2111884462363005,1,True,False
1567.0,491.0,0.17693,24406.09185085484,1354.099268147258,3.520716884175908,3.520716884175908,1,True,False
2110.0,633.0,0.2353901,21834.736463713063,1129.2403784207038,2.207990319130568,2.207990319130568,1,True,False
2527.0,262.0,0.2291682,24469.753932922573,5373.763397482914,3.9095580018790903,3.9095580018790903,1,True,False
2531.0,557.0,0.1652013,32690.858758315528,1320.8228555081214,0.18102372500016645,0.18102372500016645,1,True,False
2532.0,599.0,0.09159148,40267.853657147505,474.26514711192334,4.818671801830395,4.818671801830395,1,True,False
604.0,90.0,0.1161843,22295.808217561214,725.3746813768493,0.0006237869579978284,0.0006237869579978284,1,True,False
1018.0,452.0,0.09002344,42717.413636773665,1727.589452823442,0.04496320300480089,0.04496320300480089,1,True,False
1330.0,551.0,0.3302634,20613.272343657307,1155.2851796360712,0.038723746720307387,0.038723746720307387,1,True,False
1842.0,379.0,0.1249678,24048.05910105767,627.4480154446968,0.010278812598007874,0.010278812598007874,1,True,False
465.0,294.0,0.08872492,21021.11385111261,427.45157275610154,1.0006553937625207,1.0006553937625207,1,True,False
532.0,497.0,0.3094858,16861.21018227642,1901.4164789410372,1.5073437779298615,1.5073437779298615,1,True,False
1011.0,181.0,0.06778385,40647.4961143799,2071.806764855238,1.683995109680176,1.683995109680176,1,True,False
1159.0,219.0,0.1216335,16784.983126552263,171.40245919503758,0.07563956725107174,0.07563956725107174,1,True,False
1159.0,225.0,0.1502219,24666.118532798075,160.6990683516063,0.17830038345620094,0.17830038345620094,1,True,False
1390.0,565.0,0.1767942,16917.20452713065,152.74953850042064,2.7437135288853964,2.7437135288853964,1,True,False
1701.0,200.0,0.1263564,33923.69020148831,676.4114782236729,3.3014378973099774,3.3014378973099774,1,True,False
1768.0,237.0,0.2594952,34124.724786182014,455.95404580927703,0.27019383715092843,0.27019383715092843,1,True,False
1768.0,290.0,0.09895116,26484.776399369122,1142.4500010304907,2.5087726069502665,2.5087726069502665,1,True,False
1830.0,156.0,0.09305653,24940.829822264946,353.6689563042627,1.709561565167511,1.709561565167511,1,True,False
1830.0,553.0,0.09245619,25213.517025816895,1933.8834262880375,0.9254320125475927,0.9254320125475927,1,True,False
311.0,443.0,0.07209635,35168.25446100008,686.7258498730728,0.049770294590437913,0.049770294590437913,1,True,False
498.0,37.0,0.1478245,19305.457413035452,960.06935744421,0.08300076647004516,0.08300076647004516,1,True,False
